POS,TEAM,PTS,year
10,SAUBER FERRARI,5,2017
1,MERCEDES,655,2018
2,FERRARI,571,2018
3,RED BULL RACING TAG HEUER,419,2018
4,RENAULT,122,2018
5,HAAS FERRARI,93,2018
6,MCLAREN RENAULT,62,2018
7,FORCE INDIA MERCEDES,52,2018
8,SAUBER FERRARI,48,2018
9,SCUDERIA TORO ROSSO HONDA,33,2018
10,WILLIAMS MERCEDES,7,2018
EX,FORCE INDIA SAHARA,0,2018
1,MERCEDES,739,2019
2,FERRARI,504,2019
3,RED BULL RACING HONDA,417,2019
4,MCLAREN RENAULT,145,2019
5,RENAULT,91,2019
6,SCUDERIA TORO ROSSO HONDA,85,2019
7,RACING POINT BWT MERCEDES,73,2019
8,ALFA ROMEO RACING FERRARI,57,2019
9,HAAS FERRARI,28,2019
10,WILLIAMS MERCEDES,1,2019
1,MERCEDES,573,2020
2,RED BULL RACING HONDA,319,2020
3,MCLAREN RENAULT,202,2020
4,RACING POINT BWT MERCEDES,195,2020
5,RENAULT,181,2020
6,FERRARI,131,2020
7,ALPHATAURI HONDA,107,2020
8,ALFA ROMEO RACING FERRARI,8,2020
9,HAAS FERRARI,3,2020
10,WILLIAMS MERCEDES,0,2020
1,MERCEDES,613.5,2021
2,RED BULL RACING HONDA,585.5,2021
3,FERRARI,323.5,2021
4,MCLAREN MERCEDES,275,2021
5,ALPINE RENAULT,155,2021
6,ALPHATAURI HONDA,142,2021
7,ASTON MARTIN MERCEDES,77,2021
8,WILLIAMS MERCEDES,23,2021
9,ALFA ROMEO RACING FERRARI,13,2021
10,HAAS FERRARI,0,2021
1,RED BULL RACING RBPT,759,2022
2,FERRARI,554,2022
3,MERCEDES,515,2022
4,ALPINE RENAULT,173,2022
5,MCLAREN MERCEDES,159,2022
6,ALFA ROMEO FERRARI,55,2022
7,ASTON MARTIN ARAMCO MERCEDES,55,2022
8,HAAS FERRARI,37,2022
9,ALPHATAURI RBPT,35,2022
10,WILLIAMS MERCEDES,8,2022
